Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
O22	1.98e-05	11	-2772.144463736205	16	0.7766666666666667	32	5.76e-05
O23	1.98e-05	11	10866.117823747272	16	0.6866666666666666	32	5.76e-05
O24	1.8e-05	10	20506.5787259074	13	0.7756666666666666	32	5.76e-05
P1	1.98e-05	11	16356.187014341724	15	0.7556666666666666	32	5.76e-05
P2	1.98e-05	11	16532.133794477428	14	0.75	32	5.76e-05
P3	1.8e-05	10	16529.971225507277	11	0.6873333333333335	32	5.76e-05
P4	1.8e-05	10	14481.038719408729	14	0.7883333333333334	32	5.76e-05
P5	1.8e-05	10	15567.377652088753	15	0.7196666666666666	32	5.76e-05
P6	1.8e-05	10	13973.83025399058	15	0.7336666666666667	32	5.76e-05
P7	1.8e-05	10		12	0.9843333333333334	20	3.6e-05
P8	1.8e-05	10	13779.878591516457	14	0.7583333333333333	32	5.76e-05
P9	1.98e-05	11	15894.710017423553	16	0.6963333333333334	32	5.76e-05
P10	1.98e-05	11	12781.431045938773	16	0.7003333333333334	32	5.76e-05
P11	1.8e-05	10		13	0.7440000000000001	22	3.96e-05
P12	1.8e-05	10	11338.647664749384	14	0.6803333333333333	32	5.76e-05
P13	1.98e-05	11	14116.779414845098	17	0.887	32	5.76e-05
P14	1.98e-05	11	11670.497899953329	15	0.809	32	5.76e-05
P15	1.98e-05	11	12892.581495985525	12	0.6873333333333332	32	5.76e-05
P16	1.8e-05	10	72664.31086002087	10	0.7753333333333333	32	5.76e-05
P17	1.98e-05	11	12908.110746130107	16	0.839	31	5.58e-05
P18	2.34e-05	13	5570.231626103388	17	0.49433333333333335	32	5.76e-05
P19	1.8e-05	10	11572.883411252444	12	0.7176666666666667	32	5.76e-05
P20	1.98e-05	11	12783.22666754498	12	0.735	32	5.76e-05
P21	1.98e-05	11	17734.226415855683	16	0.831	32	5.76e-05
P22	1.98e-05	11	13321.501620732413	16	0.6466666666666666	32	5.76e-05
P23	1.98e-05	11	11662.917736616984	12	0.6423333333333333	32	5.76e-05
P24	1.98e-05	11	15543.483994181452	13	0.6859999999999999	31	5.58e-05
