	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
278	L15	1.08e-05	6	27846.838969722612	10	0.781	32	5.76e-05
279	L16	1.26e-05	7	34184.33814496372	10	0.8166666666666665	32	5.76e-05
280	L17	1.26e-05	7	1547.9115075405523	11	0.7879999999999999	26	4.68e-05
281	L18	1.62e-05	9	7289.221980297152	18	0.5626666666666668	30	5.4e-05
282	L19	1.26e-05	7	-12962.709000664161	11	0.7073333333333333	32	5.76e-05
283	L20	1.08e-05	6	4901.97458820078	11	0.7253333333333334	32	5.76e-05
284	L21	1.08e-05	6	24266.760969115476	11	0.7936666666666667	29	5.22e-05
285	L22	1.08e-05	6	59824.97527624411	10	0.6713333333333334	32	5.76e-05
286	L23	1.08e-05	6	68935.89415970704	10	0.7013333333333333	32	5.76e-05
287	L24	1.26e-05	7	34621.548736094344	11	0.6930000000000001	32	5.76e-05
288	M1	1.08e-05	6	13532.760830753576	16	0.7633333333333333	32	5.76e-05
289	M2	1.26e-05	7	13492.82864618267	11	0.815	32	5.76e-05
290	M3	1.26e-05	7	10781.688751694572	16	0.7263333333333334	32	5.76e-05
291	M4	1.08e-05	6	25325.936607162395	11	0.8496666666666667	25	4.5e-05
292	M5	1.08e-05	6	67606.36785645969	10	0.7423333333333333	32	5.76e-05
293	M6	1.26e-05	7	-6893.670221153724	10	0.7116666666666666	32	5.76e-05
294	M7	1.26e-05	7	4564.006588654326	10	0.7076666666666666	32	5.76e-05
295	M8	1.26e-05	7	8311.36309427483	11	0.8166666666666665	22	3.96e-05
296	M9	1.26e-05	7	11292.196422193732	15	0.706	32	5.76e-05
297	M10	1.26e-05	7	-1236.0776178274973	10	0.7026666666666666	32	5.76e-05
298	M11	1.08e-05	6	-1712.98439880379	12	0.6893333333333334	29	5.22e-05
299	M12	1.08e-05	6	4441.831034076221	14	0.7426666666666666	23	4.14e-05
300	M13	1.08e-05	6	20166.664823651834	10	1.0259999999999998	32	5.76e-05
301	M14	1.26e-05	7	57961.517536098	11	0.9136666666666667	32	5.76e-05
302	M15	1.26e-05	7	-4162.165542802453	11	0.7119999999999999	32	5.76e-05
303	M16	1.26e-05	7	3270.786973532915	11	0.8063333333333335	32	5.76e-05
304	M17	1.26e-05	7	10234.128500534804	10	0.7846666666666667	30	5.4e-05
305	M18	1.26e-05	7	-2564.8878163769355	11	0.749	24	4.32e-05
306	M19	1.08e-05	6		15	0.6103333333333333	17	3.06e-05
307	M20	1.26e-05	7	18704.889901684728	10	0.6803333333333335	32	5.76e-05
308	M21	1.26e-05	7	41273.197018707455	10	0.802	32	5.76e-05
309	M22	1.26e-05	7	11969.575065203151	11	0.7503333333333333	24	4.32e-05
310	M23	1.26e-05	7	308.4540294098697	10	0.7200000000000001	32	5.76e-05
311	M24	1.08e-05	6	45782.75638470991	10	0.8106666666666666	32	5.76e-05
312	N1	1.26e-05	7	11063.188975240031	15	0.7826666666666666	32	5.76e-05
313	N2	1.26e-05	7	55511.8130056445	10	0.8026666666666666	32	5.76e-05
314	N3	1.44e-05	8	8967.818331068158	12	0.7103333333333333	32	5.76e-05
315	N4	1.26e-05	7	29584.784459971124	10	0.8156666666666665	31	5.58e-05
316	N5	1.08e-05	6	11109.576776568443	15	0.7239999999999999	32	5.76e-05
317	N6	1.08e-05	6	18242.525289257523	11	0.7056666666666667	32	5.76e-05
318	N7	1.08e-05	6	13731.512771056156	15	1.1566666666666665	32	5.76e-05
319	N8	1.08e-05	6	30461.926064540636	10	0.7319999999999999	28	5.04e-05
320	N9	1.26e-05	7	9842.269464843592	15	0.7173333333333334	32	5.76e-05
321	N10	1.08e-05	6	-5872.00255972244	12	0.7079999999999999	32	5.76e-05
322	N11	1.08e-05	6	9871.173815516499	14	0.8353333333333333	22	3.96e-05
323	N12	1.26e-05	7	5006.138624705389	15	0.7043333333333334	32	5.76e-05
324	N13	1.08e-05	6	51338.03798248618	10	0.9786666666666667	32	5.76e-05
325	N14	1.08e-05	6	25822.962249835924	10	0.8756666666666667	32	5.76e-05
326	N15	1.08e-05	6	34098.09056350504	10	0.7566666666666667	32	5.76e-05
327	N16	1.08e-05	6	78246.4008347381	10	0.7886666666666667	32	5.76e-05
328	N17	1.26e-05	7	1345.880581917765	11	0.7879999999999999	26	4.68e-05
329	N18	1.44e-05	8		16	0.5066666666666667	19	3.42e-05
