	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
64	C15	12600.0	7.0	1.2597206715159092e-05	15.0	0.9023333333333333	48	86400.0
65	C16	12600.0	7.0	1.4395135352114884e-05	16.0	0.9503333333333334	48	86400.0
66	C17	12600.0	7.0	3.9210166564944474e-05	15.0	1.0133333333333334	39	70200.0
67	C18	14400.0	8.0	4.320237350015397e-05	12.0	0.874	47	84600.0
68	C19	12600.0	7.0	0.00012938459237165424	9.0	0.8816666666666667	45	81000.0
69	C20	12600.0	7.0	9.820408829447878e-06	16.0	0.8706666666666667	48	86400.0
70	C21	12600.0	7.0	5.886689784990672e-05	11.0	0.9263333333333335	48	86400.0
71	C22	12600.0	7.0	1.3897581401078154e-05	18.0	0.9176666666666667	48	86400.0
72	C23	12600.0	7.0	3.105968947718164e-05	12.0	0.5213333333333333	29	52200.0
73	C24	14400.0	8.0	1.6942691375139368e-05	19.0	1.1093333333333333	48	86400.0
74	D1	14400.0	8.0	1.394619029705588e-05	20.0	0.8850000000000001	47	84600.0
75	D2	12600.0	7.0	9.835390116232167e-06	19.0	0.8723333333333333	48	86400.0
76	D3	14400.0	8.0	6.027863395664508e-06	20.0	0.8413333333333334	45	81000.0
77	D4	12600.0	7.0	5.623233331749212e-06	19.0	0.854	47	84600.0
78	D5	12600.0	7.0	4.07128036805932e-05	10.0	0.858	48	86400.0
79	D6	14400.0	8.0	6.877481931951429e-06	19.0	0.8133333333333331	47	84600.0
80	D7	12600.0	7.0	1.5674041874608567e-05	14.0	1.1983333333333335	35	63000.0
81	D8	12600.0	7.0	6.555343452923752e-06	19.0	0.8930000000000001	48	86400.0
82	D9	12600.0	7.0	5.696732998204987e-06	19.0	0.8573333333333334	48	86400.0
83	D10	12600.0	7.0	1.1084796960413472e-05	16.0	0.8563333333333333	48	86400.0
84	D11	16200.0	9.0	1.1924577037944411e-05	13.0	0.5226666666666667	22	39600.0
85	D12	14400.0	8.0	9.043398909324331e-06	15.0	0.9153333333333333	48	86400.0
86	D13					0.11933333333333333	48	86400.0
87	D14					0.09266666666666667	46	82800.0
88	D15					0.09833333333333334	48	86400.0
89	D16	19800.0	11.0	3.4977789799621975e-06	22.0	0.7166666666666667	48	86400.0
90	D17	10800.0	6.0	1.7170756638470482e-05	12.0	0.9053333333333334	34	61200.0
91	D18	16200.0	9.0	1.4980160138483075e-05	12.0	0.658	33	59400.0
92	D19	12600.0	7.0	1.056155197401353e-05	16.0	0.85	47	84600.0
93	D20	14400.0	8.0	3.4401660668256734e-06	20.0	0.8716666666666667	48	86400.0
94	D21	9000.0	5.0	6.281451363593947e-06	12.0	0.8643333333333333	48	86400.0
95	D22					0.09233333333333334	48	86400.0
96	D23					0.09366666666666668	6	10800.0
97	D24					0.09333333333333334	20	36000.0
98	E1	14400.0	8.0	6.81804564805837e-05	11.0	0.8753333333333333	48	86400.0
99	E2	12600.0	7.0	5.225473275624157e-05	10.0	0.9470000000000001	48	86400.0
100	E3	12600.0	7.0	7.880856568816911e-06	15.0	0.8536666666666667	47	84600.0
101	E4	12600.0	7.0	2.9196849020153084e-05	12.0	0.9386666666666666	26	46800.0
102	E5	12600.0	7.0	5.633564881152316e-05	10.0	0.8776666666666667	48	86400.0
103	E6	14400.0	8.0	8.00933014428277e-06	17.0	0.8073333333333333	48	86400.0
104	E7	14400.0	8.0	4.5273766971082454e-05	10.0	0.8193333333333332	48	86400.0
105	E8	14400.0	8.0	3.755539116059127e-05	12.0	0.947	22	39600.0
106	E9	14400.0	8.0	1.531680993194347e-05	13.0	0.8183333333333334	47	84600.0
107	E10	14400.0	8.0	6.378348034447245e-06	19.0	0.8559999999999999	48	86400.0
108	E11	14400.0	8.0	3.140414047744002e-05	10.0	0.7583333333333333	48	86400.0
109	E12	14400.0	8.0	4.1533160911259744e-05	12.0	0.89	27	48600.0
110	E13					0.11033333333333334	48	86400.0
111	E14	12600.0	7.0	8.352924530688852e-06	19.0	0.8783333333333333	46	82800.0
112	E15	14400.0	8.0	3.595782733003887e-05	10.0	0.856	48	86400.0
113	E16	12600.0	7.0	8.016291728214269e-06	19.0	0.9143333333333334	48	86400.0
114	E17	12600.0	7.0	2.4395580265864658e-05	18.0	1.0153333333333334	36	64800.0
