	Well	tau_values	tau_index	GrowthRates	growth_rates_index	saturate_values	saturate_index	saturation_time
71	C22	14400.0	8.0	7.2689044802330934e-06	13.0	0.7336666666666667	26	46800.0
72	C23	10800.0	6.0	9.650562682851428e-06	17.0	0.7120000000000001	32	57600.0
73	C24	10800.0	6.0	2.18412765436834e-05	15.0	0.775	32	57600.0
74	D1	12600.0	7.0	1.3812212330803475e-05	17.0	0.7443333333333334	32	57600.0
75	D2	10800.0	6.0	1.336291003717234e-05	17.0	0.8363333333333333	32	57600.0
76	D3	12600.0	7.0	-1.43365893807795e-06	12.0	0.7473333333333333	32	57600.0
77	D4	12600.0	7.0	6.5194572696820164e-06	11.0	0.822	29	52200.0
78	D5	10800.0	6.0	3.115223218718694e-05	10.0	0.7293333333333334	32	57600.0
79	D6	12600.0	7.0	9.318709255903784e-06	10.0	0.754	32	57600.0
80	D7	10800.0	6.0	3.9501326000627955e-05	10.0	1.1703333333333334	31	55800.0
81	D8	12600.0	7.0	8.44661923465383e-06	14.0	0.7520000000000001	27	48600.0
82	D9	12600.0	7.0	-1.776396444552562e-06	10.0	0.7040000000000001	32	57600.0
83	D10	10800.0	6.0	1.0483150485996734e-05	15.0	0.7216666666666667	32	57600.0
84	D11	12600.0	7.0	1.3134312809466941e-05	16.0	0.862	23	41400.0
85	D12	10800.0	6.0	2.553462383259884e-05	10.0	0.7303333333333333	25	45000.0
86	D13	10800.0	6.0	1.6808611146467633e-05	16.0	0.9296666666666668	29	52200.0
87	D14	12600.0	7.0	4.955574617454811e-05	10.0	0.8946666666666667	30	54000.0
88	D15	12600.0	7.0	-2.925278273603822e-07	12.0	0.7603333333333334	32	57600.0
89	D16	10800.0	6.0	1.3699653479038965e-05	12.0	0.834	32	57600.0
90	D17	12600.0	7.0	-2.2863530176269937e-06	11.0	0.7743333333333333	26	46800.0
91	D18	14400.0	8.0		15.0	0.4963333333333333	18	32400.0
92	D19	10800.0	6.0	0.00017976434427801268	9.0	0.6789999999999999	32	57600.0
93	D20	12600.0	7.0	5.1345863607849755e-06	11.0	0.714	29	52200.0
94	D21	12600.0	7.0	1.872945984861997e-05	11.0	0.7633333333333333	28	50400.0
95	D22	12600.0	7.0	3.2106002090355415e-06	11.0	0.6673333333333332	32	57600.0
96	D23	12600.0	7.0	9.511447098477115e-06	17.0	0.718	32	57600.0
97	D24	10800.0	6.0	6.277558771792243e-05	11.0	0.7079999999999999	32	57600.0
98	E1	10800.0	6.0	1.4364837066577011e-05	14.0	0.7456666666666667	32	57600.0
99	E2	10800.0	6.0	1.4407375923130332e-05	14.0	0.884	32	57600.0
100	E3	10800.0	6.0	0.00011892147536051898	9.0	0.757	32	57600.0
101	E4	10800.0	6.0	6.664044771479271e-07	14.0	0.8559999999999999	25	45000.0
102	E5	12600.0	7.0	-2.5066706496477034e-06	10.0	0.7393333333333333	32	57600.0
103	E6	12600.0	7.0	6.127274854460529e-06	12.0	0.7376666666666667	32	57600.0
104	E7	10800.0	6.0	5.280679408906277e-06	12.0	0.7076666666666668	30	54000.0
105	E8	10800.0	6.0	2.6548538119280453e-05	10.0	0.8313333333333333	21	37800.0
106	E9	12600.0	7.0	-3.7402242785379667e-06	10.0	0.7163333333333334	32	57600.0
107	E10	10800.0	6.0	1.9788127988990385e-05	10.0	0.7413333333333334	32	57600.0
108	E11	12600.0	7.0	1.3276187041915626e-05	10.0	0.7146666666666666	30	54000.0
109	E12	10800.0	6.0	2.2327966425745455e-05	10.0	0.803	24	43200.0
110	E13	10800.0	6.0	1.4562327458863033e-05	18.0	1.037	32	57600.0
111	E14	12600.0	7.0	1.1176384117892695e-05	17.0	0.9276666666666666	27	48600.0
112	E15	12600.0	7.0	1.785218514288898e-05	10.0	0.7743333333333333	32	57600.0
113	E16	12600.0	7.0	2.2818971683829235e-05	10.0	0.8040000000000002	32	57600.0
114	E17	10800.0	6.0	7.914332631826454e-06	12.0	0.8313333333333333	28	50400.0
115	E18	12600.0	7.0	9.723658297851704e-06	11.0	0.7793333333333333	25	45000.0
116	E19	12600.0	7.0	-3.5957001125471165e-06	10.0	0.6646666666666666	32	57600.0
117	E20	10800.0	6.0	5.7885123163098724e-05	10.0	0.7296666666666667	32	57600.0
118	E21	12600.0	7.0	6.633077929811524e-05	9.0	0.8036666666666669	31	55800.0
119	E22	10800.0	6.0	1.9258721017791335e-06	11.0	0.7543333333333333	24	43200.0
120	E23	10800.0	6.0	8.033233502685442e-05	10.0	0.7213333333333333	32	57600.0
121	E24	10800.0	6.0	7.27301297139961e-05	10.0	0.7880000000000001	32	57600.0
122	F1	21600.0	12.0	1.2233036897681512e-05	14.0	0.7436666666666666	32	57600.0
123	F2	12600.0	7.0	3.8107624221564615e-05	10.0	0.8266666666666667	32	57600.0
124	F3	10800.0	6.0	0.00015269512097414065	9.0	0.7160000000000001	32	57600.0
125	F4	12600.0	7.0	1.3970062771514639e-05	9.0	0.7773333333333333	26	46800.0
126	F5	12600.0	7.0	1.4962130718777655e-05	10.0	0.7523333333333334	32	57600.0
127	F6	12600.0	7.0	-6.7677670375311324e-06	10.0	0.71	32	57600.0
128	F7	12600.0	7.0	3.983778833058069e-05	10.0	1.1426666666666667	32	57600.0
129	F8	12600.0	7.0	1.0314178533105966e-05	10.0	0.7473333333333333	27	48600.0
130	F9	10800.0	6.0	3.3266768703456327e-05	10.0	0.7146666666666666	31	55800.0
131	F10	12600.0	7.0	2.6022113579603827e-06	12.0	0.7080000000000001	29	52200.0
132	F11	10800.0	6.0	5.6386089324515644e-05	10.0	0.8846666666666666	18	32400.0
133	F12	10800.0	6.0	3.3063563112940943e-06	15.0	0.7123333333333334	31	55800.0
134	F13	14400.0	8.0	7.922723475854371e-06	17.0	0.9463333333333334	27	48600.0
135	F14	10800.0	6.0	3.5966696496009556e-05	11.0	0.89	28	50400.0
136	F15	12600.0	7.0	2.5273945370963716e-07	10.0	0.7963333333333334	32	57600.0
137	F16	12600.0	7.0	2.0334457719493078e-05	10.0	0.8126666666666665	32	57600.0
138	F17	10800.0	6.0	2.104591313230227e-06	12.0	0.8113333333333334	24	43200.0
139	F18	14400.0	8.0	-6.8424105525316945e-06	13.0	0.584	31	55800.0
140	F19	10800.0	6.0		11.0	0.582	15	27000.0
141	F20	12600.0	7.0	3.580438846936552e-05	9.0	0.7333333333333333	32	57600.0
142	F21	14400.0	8.0	1.7551167303534638e-05	11.0	0.8063333333333333	31	55800.0
143	F22	12600.0	7.0	1.3903646234016133e-05	11.0	0.7053333333333333	31	55800.0
144	F23	10800.0	6.0		13.0	0.5533333333333333	15	27000.0
145	F24	12600.0	7.0	2.5162258564443108e-05	12.0	0.7076666666666666	32	57600.0
146	G1	12600.0	7.0	4.757867360972981e-05	11.0	0.7643333333333334	32	57600.0
147	G2	10800.0	6.0	4.167636443660541e-05	9.0	0.883	32	57600.0
148	G3	12600.0	7.0	-8.235951239233842e-07	10.0	0.7513333333333333	32	57600.0
149	G4	10800.0	6.0	3.744298841723382e-05	10.0	0.9443333333333334	25	45000.0
150	G5	12600.0	7.0	-9.82593532039622e-07	11.0	0.7496666666666666	32	57600.0
151	G6	12600.0	7.0	-3.8712897053349684e-07	10.0	0.7543333333333333	32	57600.0
152	G7	12600.0	7.0	-9.038470140450354e-06	11.0	0.7233333333333333	32	57600.0
153	G8	10800.0	6.0	1.8068344378982322e-06	14.0	0.8253333333333334	22	39600.0
154	G9	12600.0	7.0	1.1635166956051883e-05	15.0	0.7286666666666667	32	57600.0
155	G10	12600.0	7.0	1.0156699068446636e-05	15.0	0.7160000000000001	32	57600.0
156	G11	10800.0	6.0	1.5775821727059055e-06	12.0	0.7103333333333333	28	50400.0
157	G12	10800.0	6.0	3.9380668781149e-06	14.0	0.7683333333333334	23	41400.0
158	G13	14400.0	8.0	1.546842160031923e-05	17.0	1.0586666666666666	31	55800.0
159	G14	10800.0	6.0	1.6367377558947666e-05	14.0	0.9446666666666665	27	48600.0
160	G15	10800.0	6.0	5.193658351570701e-06	12.0	0.757	32	57600.0
161	G16	10800.0	6.0	7.703253723505885e-06	15.0	0.7983333333333333	32	57600.0
162	G17	12600.0	7.0	9.965618868212582e-06	11.0	0.8689999999999999	32	57600.0
163	G18	12600.0	7.0	1.2903564508466729e-05	15.0	0.8000000000000002	25	45000.0
164	G19	12600.0	7.0	2.7554298227815016e-05	9.0	0.7096666666666667	32	57600.0
165	G20	12600.0	7.0	2.4744082636221395e-05	10.0	0.786	32	57600.0
166	G21	10800.0	6.0	7.14924347942575e-05	10.0	0.8153333333333332	31	55800.0
167	G22	10800.0	6.0	1.8419086923492656e-05	11.0	0.7676666666666666	25	45000.0
168	G23	12600.0	7.0	1.800189846059868e-05	11.0	0.729	32	57600.0
169	G24	10800.0	6.0	2.8643306080027636e-05	12.0	0.7806666666666667	32	57600.0
170	H1	12600.0	7.0	1.1198043542579686e-05	15.0	0.773	32	57600.0
171	H2	12600.0	7.0	4.588801042844139e-05	11.0	0.8140000000000001	32	57600.0
172	H3	10800.0	6.0	2.779880701278702e-05	10.0	0.7543333333333333	32	57600.0
